Station_Name,Train_Count
RANI GANJ,75
GOBARDANGA,75
DELHI-KISHAN,75
MEERUT CITY,75
YAMUNANAGER,74
SAMBALPUR JN,74
SAUGOR,74
BHATNI JN.,74
SULLURUPETTA,74
SAINTHIA JN.,74
BEGU SARAI,73
KAMARKUNDU J,73
PUNDOOAH,73
VANGANI,73
BHIVPURI ROA,73
BIRUR JN.,73
DHONE JN,73
MANKAPUR JN.,73
NIZAMABAD,73
ETAWAH,73
HARDOI,72
BARH,72
HATHIDAH JN,72
ANUPPUR JN.,72
ANAKAPALLE,72
TARAKESHWAR,72
NIDADAVOLU J,72
NARSINGHPUR,72
CHAMPA JN.,72
RAJNANDGAON,71
MAHBUBNAGAR,71
NEW ALIPURDU,71
PARTAPGARH J,71
HAPUR JN.,71
JANAI ROAD,71
MAVELIKARA,71
MANIKPUR JN.,71
VIDISHA,71
NANDURBAR,70
WANKANER,70
BARUI PARA,70
VIRUDUNAGAR,70
GOBRA,70
NARAYAN PAKU,70
SULTANPUR JN,70
BEGAMPUR,70
MAGRA,70
LALITPUR,70
JIND JN,70
THALASSERY,70
KHAIRATABAD,69
KHALILABAD,69
SINGUR,69
PAKUR,69
GUDIVADA JN.,69
KOKRAJHAR,69
BALLABGARH,69
DIARA,69
NANDAIGAJAN,69
NASIBPUR,69
DEWAS,69
AURANGABAD,68
DAMOH,68
TITLA GARH J,68
JAMES STREET,68
MALKAPUR,68
THANJAVUR JN,68
BOISAR,68
SANJIVAIAH P,68
UDUPI,68
NABADWIP DHA,68
ALLEPPEY,68
MAU JN.,67
KHANYAN,67
KARUR JN.,67
SEWAGRAM,67
MEMARI,67
KARNAL,67
KURNOOL TOWN,67
MUDKHED JN.,67
THAKURNAGAR,67
JALNA,67
BAINCHI,66
CHANDIGARH,66
BELA NAGAR,66
ORAI,66
BOKARO STEEL,66
SONIPAT,66
SIRHIND JN.,66
HINDUPUR,66
FIROZPUR CAN,66
JAUNPUR JN.,66
PANDHURNA,66
KURDUVADI JN,66
SHIVAJINAGAR,66
NAJIBABAD JN,65
KAMARKUNDU H,65
ADI SAPTAGRA,65
NALIKUL,65
TALANDU,65
MANSI JN.,65
CHANDPARA,65
DAVANGERE,65
HARI PAL,65
BAPATIA,65
BANDIKUI JN.,65
MALIYA,65
CHITTAURGARH,65
VRIDHA CHALA,65
BIKANER JN.,65
PALWAL,64
BHABUA ROAD,64
BALARAMBATI,64
GANDHINAGAR,64
LUMDING JN.,64
SHAHDOL,64
CHINCHVAD,64
BARHIYA,64
MANTHRALAYAM,64
MIRZAPUR BAN,64
DHARWAD,64
KISHANGARH,64
SHUJALPUR,64
CHANDANPUR,64
KATHUA,64
DAKHINESWAR,64
LOKNATH,63
SHAHGANJ JN.,63
ALWAR JN.,63
MANINAGAR,63
MAYILADUTURA,63
AHMADNAGAR,63
DHURI JN.,63
MADHUSUDANPU,63
HAPA,63
BAHIR KHANDA,63
KAIKALA,63
NAGERCOIL JN,63
BUDGE BUDGE,62
BAGILA,62
BRACE BRIDGE,62
ABHAIPUR,62
BAINCHI GRAM,62
BALICHAK,62
KAWR,62
KHADKI,62
SANTOSH PUR,62
AKRA,62
SANHATI,62
NANGI,62
DEBIPUR,62
MANCHIRYAL,62
SIMLAGARH,62
RAJA-KI-MAND,61
RAMPUR,61
SADAR BAZAR,61
MAIHAR,61
MAKSI JN,61
DEGANA JN.,60
BIDYADHARPUR,60
VADAKARA,60
VIKRABAD JN.,60
GUNA,60
KALIKAPUR,60
CHAMPAHATI,60
BAHADURGARH,59
GHUTIARI SHA,59
GHAZIPUR CIT,59
KAMAREDDI,59
CANNING,58
NECKLACE ROA,58
HAUR,58
AYODHYA,58
DILDARNAGAR,58
RAYAGADA JN.,58
LAKDI KA PUL,58
HARDA,58
AMBALA CITY,58
TALEGAON,58
TALDI,58
AGRA  FORT,58
RAIGARH,58
MAHBUBABAD,58
BHILAI POWER,57
PIALI,57
KASARA,57
NAUGACHIA,57
BELMURI,57
HISAR JN,57
ADONI,57
VIRAR,57
GADWAL,57
MORENA,57
GURAP,57
RADHAMOHANPU,57
RAMGANJ MAND,57
CUDDAPAH,57
SULTANGANJ,57
MUZAFFARNAGA,57
GOURDAHA (HA,57
OTTAPPALAM,56
DAKSHIN DURG,56
AMBIKA KALNA,56
MATHURAPUR R,56
BAHARU F,56
HAJIGARH,56
KOVILPATTI,56
BADKULLA,56
NERUL,56
LUNI JN.,56
TUGALAKABAD,56
MAGRAHAT,56
VIVEKANANDPU,56
BIRNAGAR,56
GANGAPUR CIT,56
HOTAR,56
CHANDRAPURA,56
JAYNAGAR MAJ,56
GOCHARAN,56
KALYANPUR,56
BOLARUM,56
DHAPDHAPI,56
MANGALORE CE,56
KASGANJ JN.,56
PORA BAZAR,56
TAHERPUR,56
SURJYAPUR,56
AMETHI,56
DAYA BASTI,56
DAKSHIN BARA,56
SUBZI MANDI,56
MASAGRAM,55
JAKHAL JN.,55
JAMNAGAR,55
DURGAPURA,55
CHHEOKI,55
HOGLAHALT E,55
VIVEK VIHAR,55
CHIPLUN,55
TUNI,55
KAVALI,55
YADGIR,54
CHITTOOR,54
UDHNA JN.,54
DIAMOND HARB,54
DHAMUA,54
PIMPRI,54
JAUGRAM,54
BASULDANGA,54
JHAPANDANGA,54
SAGAULI JN.,54
PARASNATH,54
BAYANA,54
PENDRA ROAD,54
DEULA,54
KHUSROPUR,54
OKHLA,54
MADHABPUR,54
AMLA JN.,54
SAHIBGANJ,54
NABAGRAM,54
NETRA,54
SATUR,54
UTTAR RADHAN,54
BARHARWA JN.,54
PALGHAR,53
HARIHAR JN.,53
CHANGANACHER,53
MEDCHAL,53
GURUDAS NAGA,53
SABARMATI JN,53
MAHEMADAVAD,53
LONDA JN.,53
BELGAUM,53
YERRA GUNTLA,53
BISHNUPUR,53
KHURJA JN,52
EGATTUR,52
VARKALA,52
MELMARUVATHU,52
RASULPUR,52
PANA GARH,52
UDHAMPUR,52
PALSIT,52
BURHANPUR,52
BETHERIA GHO,52
ACHHNERA JN.,52
JANGHAI JN.,52
PHILLAUR JN.,52
DEHU ROAD,52
PATHANKOT JN,52
SRI KALAHAST,52
AMROHA,51
THIVIM,51
PAYYANUR,51
SHIKOHABAD J,50
WHITE FIELD,50
HAVERI,50
HOSHANGABAD,50
MADPUR,50
KHANA JN.,50
JAMUI,50
SAHARSA JN.,50
GIRI MAIDAN,50
NARKATIAGANJ,50
TINPAHAR JN.,50
DONGAR GARH,50
YELAHANKA JN,50
KHIRAI,49
JOYCHANDI PA,49
FARIDABAD NE,49
DAUSA,49
BHIWANI JN.,49
JALESWAR,49
VANCHI MANIY,49
GANJ BASODA,49
BELLAMPALLI,49
TIPTUR,49
CHATRAPUR,49
SHYAM CHAK,49
ASAOTI,48
DAPODI,48
KESINGA,48
KENGERI,48
AKURDI,48
BHIWANDI ROA,48
RANIBENNUR,48
KARUNAGAPPAL,48
DHENKANAL,48
MUMBAI CENTR,48
SAKHIGOPAL,48
JAKPUR,48
MIRYALAGUDA,48
NALGONDA,48
ANGAMALI (FO,48
CHALISGAON J,48
SILIGURI JN.,48
GOKULPUR,48
MEGHNAGAR,48
NIDUBROLU,47
CHALAKUDI,47
VARANASI CIT,47
HATIA,47
MANAVUR,47
SENJIPANAMBA,47
VANIYAMBADI,47
GYANPUR ROAD,47
SIBAICHANDI,47
KADUR,47
DORNAKAL JN.,47
PULIYAMANGAL,47
DHANIOIAKHAL,47
MOSUR,47
KATNI MURWAR,47
BHAWANI MAND,46
BALANGIR,46
AHMADPUR JN.,46
BOBBILI JN.,46
KASARWADI,46
RAJCHANDRAPU,46
BARKAKANA,46
KANHANGAD,46
HOJAI,46
GADAG JN.,46
BHANDARA RD,46
MUMBAI VADAL,46
ANGUL,46
NIMO,46
SEHORE,46
GHORAWADI,46
LALKUA JN.,46
NALHATI JN.,46
BALLY GHAT,46
BALLY HALT,46
BARGARH ROAD,46
KHAGRAGHAT R,46
BARANAGAR RO,46
AMALNER,46
IRINJALAKUDA,46
AKALTARA,46
SATARA,46
LAHERIA SARA,46
PALLA ROAD,46
TANDUR,46
MARIANI JN.,45
GARIFA,45
DALSINGH SAR,45
FARRUKHABAD,45
HOOGHLY GHAT,45
SALAR,45
BEGDAEWAI,45
PATLIPUTRA,45
DIMAPUR,45
NARWANA JN.,45
SOMPETA,45
GHORADONGRI,44
NIHALGARH,44
NIMDANRI,44
BAHIRA KALIB,44
LEBUTALA,44
MANDYA,44
BIHTA,44
SHAHABAD,44
HARUA ROAD,44
BERCHHA,44
GHOVARASH GH,44
SHAMGARH,44
SIMHACHALAM,44
HASANABAD,44
MALATI PUR,44
NAGAUR,44
KUTTIPPURAM,44
BARPETA ROAD,44
RATANAGARH J,44
CHAMPAPUKUR,44
KANKRA MIRZA,44
NAGARSOL,44
BHASILA,44
KAREA KADAMB,44
BARIARPUR,44
JHARGRAM,44
BASIRHAT,44
KAZIPARA  HA,44
BHYABLA,44
BHIMAVARAM T,44
TAKI ROAD,44
DABRA,44
UMARIA,44
KUMBAKONAM,44
KUDAL,44
TILDA,44
DEVLALI,44
PARVATIPURAM,44
FIROZABAD,44
BELIAGHATA R,44
SONDALIA,44
TUMSAR RD,44
MADHYAMPUR,44
BAPUDHAM MOT,44
SHRI MATA VA,43
TADIPATRI,43
TAPRI JN.,43
DIPHU,43
BASAR,43
SHANTIPUR JN,43
BANGALORE EA,43
BAHIRPUYA HA,43
MAKRANA JN.,43
SANGRAMPUR,43
PIDUGURALLA,42
BALA GARH,42
MUNIGUDA,42
CHANDAUSI JN,42
KANPUR ANWAR,42
DIGHWARA,42
DHAULPUR,42
DHAMANGAON,42
PRAYAG JN.,42
KHAMARGACHHI,42
DUMRAON,42
JIRAT,42
TALIT,42
KAPTANGANJ J,42
PURBA STHALI,42
PARPANANGADI,42
BHIMAVARAM J,42
SADULPUR JN,42
RAZAMPETA,42
BHILWARA,42
BACHWARA JN.,42
DEOBAND,42
SITARAMPUR J,42
KOSI KALAN,42
SOMRA BAZAR,42
SAKRI JN.,42
BANSH BARIA,42
KUNTIGHAT,42
ANAND NAGAR,42
TRIBENI,42
ALIPUR DUAR,42
GARWA ROAD J,42
ANUGRAH NARA,42
SHEGAON,42
AKBARPUR JN.,42
ANARA,42
SHRI GANGANA,42
NANGLOI,42
BAIRAGARH,42
GUPTIPARA,42
VINDHYACHAL,42
SHERTALAI,41
SIHORAROAD,41
BILIMORA JN.,41
SELU,41
SANGLI,41
SINGAPERUMAL,41
HIJLI,41
SAMUDRA GARH,41
KAIKALUR,41
DHATRI GRAM,41
BEAWAR,41
BHOJUDIH JN.,41
AKIVIDU,41
CHANDER NAGA,41
CHAPARMUKH J,41
PAKALA JN.,41
BADSHAHNAGAR,41
KODAIKKANAL,41
PALI MARWAR,41
DALKOLHA,41
PATAUDI ROAD,41
KAMSHET,41
GEDE,40
DUMURDAHA,40
INDARA JN.,40
HINDAUN CITY,40
DURAUNDHA JN,40
RAXAUL JN.,40
BETTIAH,40
ANNAVARAM,40
SAMAKHIYALI,40
SIMRI BAKHTI,40
SATTENAPALLE,40
GANDHIDHAM J,40
GARHI HARSAR,40
GHATSILA,40
AGRADWIP,40
GUSKARA,40
HABIBPUR,40
KARMALI,40
QUILANDI,40
DATIA,40
PATULI,40
TALCHER ROAD,40
DHUPGURI,40
PARTUR,40
DALTONGANJ,40
MADHIRA,40
NAILA,40
DAINHAT,40
PHULIA,40
LALAGUDA GAT,40
BAGHNAPARA,40
NOKHA,40
CHUNAR JN.,40
KUPPAM,39
KOSAMBA JN.,39
VADGAON,39
LAKSHMIPUR,39
PHULWARI SHA,39
PEDDAPALLI,39
BHANDARTIKUR,39
SHALIMAR,39
BURNPUR,39
BHADOHI,39
RAMANAGARAM,39
BELAPUR,39
BEHULA,39
JADCHARLA,39
WARIA,39
NEW TINSUKIA,39
KANKAVALI,38
JHALIDA,38
JAMTARA,38
BHAINA H,38
SAMPLA,38
KAHALGAON,38
RAGHUNATHPUR,38
ATGAON,38
DUAN,38
BELA,38
BAZARASU,38
JAYNAGAR,38
KALINAGAR,38
BELLARY JN.,38
SANGRUR,38
SINGARAYAKON,38
ZAFARABAD JN,38
NARKHER,38
BAHIRGACHHI,38
MAYURHAT,38
BIBHUTI BHUS,38
MADANMAHAL,38
BAGULA,38
NADIKUDE JN.,38
KANTABANJI,38
PULGAON JN.,38
TINDIVANAM,38
KOCHUVELI,38
BANPUR,38
MAGARWARA,38
ARANGHATA,38
GAURIGANJ,38
PODANUR JN.,38
KANPUR BRIDG,38
TARAK NAGAR,38
RAJGANGPUR,38
DEHRA DUN,38
BAREILLY CIT,38
PRANTIK,38
MAJHDIA,38
DHARMABAD,37
KANHE,37
JAGADHRI WOR,37
JANGAON,37
KAKINADA TOW,37
HARISH NAGAR,37
GOALPARA  TO,37
SAMALKHA,37
MAVLI JN.,37
BALAMAU JN.,37
BANKIMNAGAR,37
GUDUVANCHERI,37
SHASAN ROAD,37
IDGAH,37
RUTHIYAI JN,37
CHOPAN,37
PANCHBHERIA,37
KRISHNAMOHAN,37
KHARDI,37
BAIYYAPPANAH,37
MALUR,37
CHANDIL JN.,37
MALAVLI,37
KASHIPUR JN,37
WADAKANCHERI,36
CHAKIA,36
SAPHALE,36
BIJAPUR JN,36
VANDALUR,36
MURARAI,36
CHANCHAI,36
PALASDARI,36
MADHUBANI,36
KHANNA,36
KHACHROD,36
PATEL NAGAR,36
CHURU,36
UMDANAGAR,36
UMBERMALLI,36
BIHIYA,36
PHAPHAMAU JN,36
THANSIT,36
KATTANGULATH,36
PONMALAI (GO,36
KARAD,36
PILIBHIT JN.,36
ZAMANIA,36
GULZARBAGH,36
HINGANGHAT,36
BHAGAT-KI-KO,36
ASHOK NAGAR,36
KAJRA,36
SAMSI,36
CAVALRY BARR,36
KANJARI BORI,35
JAGI ROAD,35
VENKATAGIRI,35
MURTAJAPUR J,35
CHHATRAPATI,35
CHIKJAJUR JN,35
MEERUT CANT,35
CHIDAMBARAM,35
KASHI,35
PILKHUA,35
TAMLUK,35
LATUR ROAD,35
LASUR,35
MANGALA GIRI,35
KOTTAVALASA,35
ALUABARI ROA,35
KODURU,35
KRISHANA CAN,35
GANAUR,35
SURATGARH JN,35
FEROK,35
BOLARUM BAZA,34
GHATPRABHA,34
GOTAN,34
TADA,34
SAFILGUDA HA,34
SITAPUR CANT,34
SIRKAZHI,34
ICHCHA PURAM,34
BELERHAT,34
INDRAGARH SU,34
HINGOLI(DECC,34
SASTHANKOTTA,34
ARAMBAKKAM,34
BARWADIH JN,34
DHARHARA,34
RAMAKISTA PU,34
JEHANABAD,34
ELAVUR,34
AMMUGUDA HAL,34
BACHHRAWN,34
KHAIRTHAL,34
AZAMGARH,34
TAREGNA,34
PATTAMBI,34
TANUKU,34
ALWAL HALT,34
KOT KAPURA J,34
KOVVUR,34
KHARIAR ROAD,34
PARLI VAIJNA,34
DAYANANDNAGA,34
MAHE,34
BAGAHA,34
PALAM,34
BIDADI,34
URULI,34
MAHASAMUND,34
NARELA,34
BAMRA,34
VIDYASAGAR,34
MANAMADURAI,34
MANCHESWAR,34
MANDUADIH,34
CHAKULIA,34
WASHIM,34
SIROHI ROAD,33
SHADNAGAR,33
FATEHPUR,33
BANASWADI,33
FURKATING JN,33
GADARWARA,33
RUDAULI,33
ROHA,33
ROTEGAON,33
GOWDAVALLI H,33
MODINAGAR,33
MIYAGAM KARJ,33
GORAKHPUR CA,33
KALYANI GHOS,33
KALYANI SIMA,33
BENOY BADAL,33
KALYANI SILP,33
NIMACH,33
ALLAHABAD CI,33
BIDAR,33
MANANPUR,32
DWARKA,32
ELAMANCHILI,32
SAMBALPUR RO,32
GAJRAULA JN.,32
ROZA JN,32
GIDHAUR,32
CHITTAPUR,32
GAHMAR,32
SURAIMANPUR,32
MAHENDRAGARH,32
BHACHAU,32
ATHMAL GOLA,32
HAIAGHAT,32
GARBETA,32
BAREJADI NAN,32
KHAMBHALIYA,32
AMBALAPUZHA,32
BITRAGUNTA,32
BHAVNAGAR TE,32
MANWATH ROAD,32
SHRI MAHABIR,32
SITAMARHI,32
BARABHUM,32
SON NAGAR JN,32
BUDALUR,32
RAJKHARSAWAN,32
MHOW,32
VANGAON,32
UDAIPUR CITY,32
OKHA,32
KAMPTEE,32
ITWARI JN.,32
DASUA,32
WALAJAH ROAD,32
JANGIPUR ROA,32
PUNARAKH,32
HARIPAD,32
HARISHCHANDR,32
TIRUPATTUR,32
PONDICHERRY,32
PIRPAINTI,32
MANKAR,31
CHANNA PATNA,31
JIAGANJ,31
KUNDAPURA,31
BHILAI,31
BHILAINAGAR,31
SRIDHAM,31
KANNAUJ,31
GUNDLA POCHA,31
BETHUADAHARI,31
BELDANGA,31
TOHANA,31
AKAIPUR H,31
BADARPUR JN.,31
HAZARIBAGH R,31
NABA RAYNAGA,31
MARRI PALEM.,31
KELVE ROAD,31
FAKIRAGRAM J,31
MAJHERGRAM,31
RANA PRATAP,31
MANDSOR,31
SACHIWALAYA,31
GANGNAPUR,31
BOTAD,31
MURSHIDABAD,31
BERHAMPORE C,31
BUDVEL,31
